url	source_name	name	form	rig
https://superreview.squig.link/headphones/data/Sony%20MDR-MV1%20L3.txt	Sony MDR-MV1	Sony MDR-MV1	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-MV1%20R1.txt	Sony MDR-MV1	Sony MDR-MV1	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-MV1%20R2.txt	Sony MDR-MV1	Sony MDR-MV1	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-MV1%20R3.txt	Sony MDR-MV1	Sony MDR-MV1	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20L1.txt	Sony MDR-V6 (pads: stock)	Sony MDR-V6	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20L2.txt	Sony MDR-V6 (pads: stock)	Sony MDR-V6	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20L3.txt	Sony MDR-V6 (pads: stock)	Sony MDR-V6	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20R1.txt	Sony MDR-V6 (pads: stock)	Sony MDR-V6	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20R2.txt	Sony MDR-V6 (pads: stock)	Sony MDR-V6	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20R3.txt	Sony MDR-V6 (pads: stock)	Sony MDR-V6	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20(Yaxi)%20L1.txt	Sony MDR-V6 (pads: Yaxi)	Sony MDR-V6 (Yaxi earpads)	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20(Yaxi)%20L2.txt	Sony MDR-V6 (pads: Yaxi)	Sony MDR-V6 (Yaxi earpads)	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20(Yaxi)%20L3.txt	Sony MDR-V6 (pads: Yaxi)	Sony MDR-V6 (Yaxi earpads)	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20(Yaxi)%20R1.txt	Sony MDR-V6 (pads: Yaxi)	Sony MDR-V6 (Yaxi earpads)	over-ear	KB006x + 711
https://superreview.squig.link/headphones/data/Sony%20MDR-V6%20(Yaxi)%20R2.txt	Sony MDR-V6 (pads: Yaxi)	Sony MDR-V6 (Yaxi earpads)	over-ear	KB006x + 711
